dq,f
0.0004,0.01
0.0005,0.06
0.0006,0.09
0.0007,0.1
0.0008,0.11
0.0009,0.16
0.001,0.19
0.0012,0.26
0.0015,0.35
0.002,0.5
0.0025,0.57
0.003,0.65
