dq,f
0.0004,0.06
0.0005,0.1
0.0006,0.13
0.0007,0.16
0.0008,0.19
0.0009,0.22
0.001,0.28
0.0012,0.34
0.0015,0.43
0.002,0.51
0.0025,0.65
0.003,0.79
